id,first_name,middle_name,last_name,birth_date,marital_status,sex,email,salary,total_children,number_children_at_home,education,occupation,house_owner_flag,number_of_cars_owned,address,phone,date_first_purchase,commute_distance
11049,Carol,C,Rai,1993-08-23,S,F,carol8@adventure-works.com,40000,0,0,Partial High School,Clerical,1,2,6064 Madrid,654-555-0180,2020-10-15,5-10 Miles
11050,Alan,,Zheng,1964-10-12,M,M,alan23@adventure-works.com,30000,3,0,High School,Skilled Manual,1,2,2741 Gainborough Dr.,1 (11) 500 555-0135,2018-09-28,5-10 Miles
11051,Daniel,,Johnson,1964-09-08,S,M,daniel18@adventure-works.com,30000,3,0,High School,Skilled Manual,0,2,8085 Sunnyvale Avenue,1 (11) 500 555-0155,2021-08-06,1-2 Miles
11052,Heidi,,Lopez,1964-09-11,S,F,heidi19@adventure-works.com,40000,2,0,Partial College,Clerical,0,2,2514 Via Cordona,1 (11) 500 555-0168,2018-09-25,5-10 Miles
11053,Ana,E,Price,1993-09-25,M,F,ana0@adventure-works.com,60000,0,0,Partial College,Skilled Manual,0,2,1660 Stonyhill Circle,859-555-0113,2020-08-25,1-2 Miles
11054,Deanna,,Munoz,1965-04-15,M,F,deanna33@adventure-works.com,40000,2,0,Partial College,Skilled Manual,1,2,5825 B Way,1 (11) 500 555-0192,2018-09-11,5-10 Miles
11055,Gilbert,,Raje,1965-04-10,M,M,gilbert35@adventure-works.com,40000,2,0,Partial College,Skilled Manual,1,2,8811 The Trees Dr.,1 (11) 500 555-0129,2018-09-08,5-10 Miles
11056,Michele,L,Nath,1966-05-09,M,F,michele19@adventure-works.com,40000,3,0,Partial College,Skilled Manual,1,2,5464 Janin Pl.,1 (11) 500 555-0178,2018-10-04,5-10 Miles
11057,Carl,J,Andersen,1977-11-13,M,M,carl12@adventure-works.com,70000,2,0,Graduate Degree,Management,1,2,6930 Lake Nadine Place,1 (11) 500 555-0181,2018-09-30,1-2 Miles
11058,Marc,,Diaz,1972-11-29,M,M,marc6@adventure-works.com,80000,2,0,Partial College,Skilled Manual,1,2,6645 Sinaloa,1 (11) 500 555-0149,2018-10-15,1-2 Miles
11059,Ashlee,J,Andersen,1967-05-07,S,F,ashlee19@adventure-works.com,80000,2,0,Partial College,Skilled Manual,1,2,8255 Highland Road,1 (11) 500 555-0112,2020-09-26,5-10 Miles
11060,Jon,L,Zhou,1967-04-22,M,M,jon28@adventure-works.com,80000,2,0,Partial College,Skilled Manual,1,2,6574 Hemlock Ave.,1 (11) 500 555-0174,2018-10-25,5-10 Miles
11061,Todd,M,Gao,1983-09-28,M,M,todd14@adventure-works.com,80000,2,0,Partial College,Skilled Manual,1,2,8808 Geneva Ave,1 (11) 500 555-0191,2018-10-19,5-10 Miles
11062,Noah,D,Powell,1988-10-07,M,M,noah5@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,9794 Marion Ct,767-555-0113,2020-08-15,5-10 Miles
11063,Angela,,Murphy,1988-05-12,S,F,angela41@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,4927 Virgil Street,451-555-0162,2020-08-20,5-10 Miles
11064,Chase,,Reed,1989-01-11,M,M,chase21@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,2721 Alexander Pl.,892-555-0184,2020-09-02,5-10 Miles
11065,Jessica,,Henderson,1986-11-14,M,F,jessica29@adventure-works.com,60000,0,0,Partial College,Skilled Manual,0,2,9343 Ironwood Way,278-555-0186,2020-09-18,1-2 Miles
11066,Grace,T,Butler,1987-01-02,M,F,grace62@adventure-works.com,70000,0,0,Partial College,Professional,1,2,4739 Garden Ave.,712-555-0141,2021-01-06,5-10 Miles
11067,Caleb,F,Carter,1989-10-31,S,M,caleb40@adventure-works.com,60000,0,0,Partial College,Professional,1,2,9563 Pennsylvania Blvd.,944-555-0167,2021-03-26,5-10 Miles
11068,Tiffany,,Liang,1974-04-27,S,F,tiffany17@adventure-works.com,80000,2,0,High School,Skilled Manual,1,2,3608 Sinclair Avenue,1 (11) 500 555-0177,2020-12-06,5-10 Miles
11069,Carolyn,,Navarro,1974-04-25,S,F,carolyn30@adventure-works.com,80000,2,0,High School,Skilled Manual,0,2,4606 Springwood Court,1 (11) 500 555-0145,2018-11-23,1-2 Miles
11070,Willie,T,Raji,1968-05-10,M,M,willie40@adventure-works.com,80000,2,0,High School,Skilled Manual,1,2,6260 Vernal Drive,1 (11) 500 555-0151,2018-12-04,5-10 Miles
11071,Linda,,Serrano,1968-07-31,S,F,linda31@adventure-works.com,80000,2,0,High School,Skilled Manual,1,2,9808 Shaw Rd.,1 (11) 500 555-0130,2020-10-07,5-10 Miles
11072,Casey,,Luo,1968-03-13,S,F,casey6@adventure-works.com,80000,2,0,High School,Skilled Manual,0,2,9513 Roslyn Drive,1 (11) 500 555-0125,2018-11-06,1-2 Miles
11073,Amy,,Ye,1969-09-19,S,F,amy16@adventure-works.com,70000,2,0,High School,Skilled Manual,1,2,2262 Kirkwood Ct.,1 (11) 500 555-0185,2020-10-29,5-10 Miles
11074,Levi,A,Arun,1969-10-03,S,M,levi6@adventure-works.com,70000,2,0,High School,Skilled Manual,1,2,4661 Bluetail,1 (11) 500 555-0127,2020-10-29,5-10 Miles
11075,Felicia,L,Jimenez,1970-12-22,S,F,felicia4@adventure-works.com,80000,2,0,High School,Professional,1,2,786 Eastgate Ave,1 (11) 500 555-0165,2018-12-04,5-10 Miles
11076,Blake,,Anderson,1970-08-18,S,M,blake9@adventure-works.com,80000,2,0,High School,Professional,1,2,5436 Clear,1 (11) 500 555-0113,2018-11-27,5-10 Miles
11077,Leah,,Ye,1970-10-25,S,F,leah7@adventure-works.com,80000,2,0,High School,Professional,0,2,1291 Arguello Blvd.,1 (11) 500 555-0154,2018-11-21,1-2 Miles
11078,Gina,E,Martin,1992-08-14,S,F,gina1@adventure-works.com,40000,0,0,High School,Professional,0,2,1349 Sol St.,196-555-0114,2020-09-23,1-2 Miles
11079,Donald,,Gonzalez,1977-10-13,S,M,donald20@adventure-works.com,160000,0,0,Graduate Degree,Management,1,2,4236 Malibu Place,1 (11) 500 555-0137,2020-10-21,0-1 Miles
11080,Damien,,Chander,1972-08-21,M,M,damien32@adventure-works.com,170000,0,0,Graduate Degree,Management,1,2,9941 Stonehedge Dr.,1 (11) 500 555-0111,2018-11-16,0-1 Miles
11081,Savannah,C,Baker,1979-08-29,M,F,savannah39@adventure-works.com,120000,2,2,Bachelors,Management,1,3,1210 Trafalgar Circle,478-555-0117,2020-09-20,2-5 Miles
11082,Angela,L,Butler,1979-09-09,S,F,angela17@adventure-works.com,130000,0,1,Graduate Degree,Management,0,3,6040 Listing Ct,579-555-0195,2020-08-30,1-2 Miles
11083,Alyssa,F,Cox,1984-10-17,M,F,alyssa37@adventure-works.com,130000,0,1,Graduate Degree,Management,1,3,867 La Orinda Place,561-555-0140,2020-08-14,1-2 Miles
11084,Lucas,,Phillips,1970-10-18,S,M,lucas7@adventure-works.com,80000,2,0,Partial High School,Skilled Manual,0,2,8668 St. Celestine Court,863-555-0172,2020-08-12,1-2 Miles
11085,Emily,,Johnson,1970-08-24,S,F,emily1@adventure-works.com,60000,2,0,High School,Professional,0,2,7926 Stephanie Way,850-555-0184,2021-07-14,5-10 Miles
11086,Ryan,,Brown,1971-01-28,M,M,ryan43@adventure-works.com,70000,2,1,Partial College,Professional,1,0,2939 Wesley Ct.,539-555-0198,2021-02-07,0-1 Miles
11087,Tamara,L,Liang,1970-11-08,M,F,tamara6@adventure-works.com,70000,3,2,Partial College,Professional,0,0,3791 Rossmor Parkway,178-555-0152,2020-10-03,0-1 Miles
11088,Hunter,,Davis,1970-12-31,M,M,hunter64@adventure-works.com,80000,2,1,Bachelors,Management,1,0,4308 Sand Pointe Lane,612-555-0141,2020-08-21,2-5 Miles
11089,Abigail,M,Price,1970-03-13,S,F,abigail25@adventure-works.com,80000,2,1,Bachelors,Management,1,1,2685 Blackburn Ct,532-555-0117,2020-08-06,2-5 Miles
11090,Trevor,,Bryant,1976-07-21,S,M,trevor18@adventure-works.com,90000,2,0,Partial College,Professional,1,1,5781 Sharon Dr.,853-555-0174,2019-03-15,2-5 Miles
11091,Dalton,,Perez,1970-05-10,M,M,dalton37@adventure-works.com,90000,2,0,Partial College,Professional,1,1,6083 San Jose,559-555-0115,2020-09-06,5-10 Miles
11092,Cheryl,A,Diaz,1980-06-10,M,F,cheryl4@adventure-works.com,90000,2,2,Bachelors,Professional,1,0,7297 Kaywood Drive,1 (11) 500 555-0192,2018-11-14,1-2 Miles
11093,Aimee,A,He,1986-04-14,M,F,aimee13@adventure-works.com,100000,0,0,Graduate Degree,Management,1,0,1833 Olympic Drive,1 (11) 500 555-0161,2018-11-13,0-1 Miles
11094,Cedric,W,Ma,1975-05-07,S,M,cedric15@adventure-works.com,70000,1,0,Partial College,Skilled Manual,0,1,3407 Oak Brook Place,1 (11) 500 555-0115,2020-11-13,0-1 Miles
11095,Chad,,Kumar,1975-10-07,S,M,chad9@adventure-works.com,70000,1,0,Partial College,Skilled Manual,1,1,1681 Lighthouse Way,1 (11) 500 555-0151,2018-11-07,5-10 Miles
11096,Andrés,,Anand,1975-09-15,M,M,andrés18@adventure-works.com,60000,1,0,Bachelors,Professional,1,1,5423 Los Gatos Ct.,1 (11) 500 555-0184,2018-11-17,5-10 Miles
11097,Edwin,R,Nara,1980-05-31,M,M,edwin39@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,719 William Way,1 (11) 500 555-0112,2018-11-10,5-10 Miles
11098,Mallory,S,Rubio,1974-06-06,S,F,mallory7@adventure-works.com,60000,1,0,Partial College,Skilled Manual,0,1,6452 Harris Circle,1 (11) 500 555-0157,2020-09-19,0-1 Miles
11099,Adam,,Ross,1974-04-13,M,M,adam2@adventure-works.com,60000,1,0,Bachelors,Professional,1,1,4378 Westminster Place,1 (11) 500 555-0186,2018-11-13,0-1 Miles
11100,Latasha,L,Navarro,1973-10-21,S,F,latasha10@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,6954 Ranch Road,1 (11) 500 555-0123,2018-11-22,5-10 Miles
11101,Abby,L,Sai,1978-06-13,S,F,abby4@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,7074 N. Spoonwood Court,1 (11) 500 555-0174,2018-12-05,0-1 Miles
